Name,lv_load,periods,lines,conductors,subs_hv,subs_mv,buses,SetUnion_OrderedSet,NPWB,Value
line_opt,,,17.0,Tulip,,,,,,0.0
line_opt,,,18.0,Poppy,,,,,,1.0
line_opt,,,18.0,Oxlip,,,,,,0.0
line_opt,,,18.0,Daisy,,,,,,0.0
line_opt,,,18.0,Tulip,,,,,,0.0
line_opt,,,20.0,Poppy,,,,,,1.0
line_opt,,,20.0,Oxlip,,,,,,0.0
line_opt,,,20.0,Daisy,,,,,,0.0
line_opt,,,20.0,Tulip,,,,,,0.0
line_opt,,,52.0,Poppy,,,,,,1.0
line_opt,,,52.0,Oxlip,,,,,,0.0
line_opt,,,52.0,Daisy,,,,,,0.0
line_opt,,,52.0,Tulip,,,,,,0.0
line_opt,,,53.0,Poppy,,,,,,1.0
line_opt,,,53.0,Oxlip,,,,,,0.0
line_opt,,,53.0,Daisy,,,,,,0.0
line_opt,,,53.0,Tulip,,,,,,0.0
line_act,,,0.0,,,,,,,1.0
line_act,,,34.0,,,,,,,1.0
line_act,,,36.0,,,,,,,1.0
line_act,,,37.0,,,,,,,1.0
line_act,,,38.0,,,,,,,1.0
line_act,,,7.0,,,,,,,1.0
line_act,,,8.0,,,,,,,1.0
line_act,,,40.0,,,,,,,1.0
line_act,,,43.0,,,,,,,1.0
line_act,,,44.0,,,,,,,1.0
line_act,,,46.0,,,,,,,1.0
line_act,,,47.0,,,,,,,1.0
line_act,,,17.0,,,,,,,1.0
line_act,,,18.0,,,,,,,1.0
line_act,,,20.0,,,,,,,1.0
line_act,,,52.0,,,,,,,1.0
line_act,,,53.0,,,,,,,1.0
subs_hv_capacity,,,,,0.0,,,,,0.09406095840384814
subs_hv_capacity,,,,,1.0,,,,,0.1067309735609878
subs_hv_S,,1.0,,,0.0,,,,,0.0940609584038481
subs_hv_S,,1.0,,,1.0,,,,,0.1017166646033485
subs_hv_S,,2.0,,,0.0,,,,,0.0940609584038481
subs_hv_S,,2.0,,,1.0,,,,,0.10632648289342517
subs_hv_S,,3.0,,,0.0,,,,,0.0940609584038481
subs_hv_S,,3.0,,,1.0,,,,,0.10673097356098782
subs_hv_S,,4.0,,,0.0,,,,,0.0940609584038481
subs_hv_S,,4.0,,,1.0,,,,,0.09883706460379127
subs_hv_S,,5.0,,,0.0,,,,,0.0940609584038481
subs_hv_S,,5.0,,,1.0,,,,,0.10332999815332444
subs_hv_S,,6.0,,,0.0,,,,,0.0940609584038481
subs_hv_S,,6.0,,,1.0,,,,,0.10673097356098782
subs_hv_S,,7.0,,,0.0,,,,,0.08920139673437621
subs_hv_S,,7.0,,,1.0,,,,,0.09916811375159207
subs_hv_S,,8.0,,,0.0,,,,,0.08080813325858327
subs_hv_S,,8.0,,,1.0,,,,,0.08026563624088667
subs_hv_S,,9.0,,,0.0,,,,,0.061102668838341256
subs_hv_S,,9.0,,,1.0,,,,,0.0689399467648455
subs_hv_S,,10.0,,,0.0,,,,,0.03560160128844092
subs_hv_S,,10.0,,,1.0,,,,,0.023126145243370422
subs_hv_S,,11.0,,,0.0,,,,,0.023281827972794655
subs_hv_S,,11.0,,,1.0,,,,,0.01054670858917306
subs_hv_S,,12.0,,,0.0,,,,,0.012913987251244485
subs_hv_S,,12.0,,,1.0,,,,,0.0
subs_hv_S,,13.0,,,0.0,,,,,0.01820602527581494
subs_hv_S,,13.0,,,1.0,,,,,0.0
subs_hv_S,,14.0,,,0.0,,,,,0.019170928929383102
subs_hv_S,,14.0,,,1.0,,,,,0.0
subs_hv_S,,15.0,,,0.0,,,,,0.036534937917346855
subs_hv_S,,15.0,,,1.0,,,,,0.02149112610464421
subs_hv_S,,16.0,,,0.0,,,,,0.06106915299779636
subs_hv_S,,16.0,,,1.0,,,,,0.048367048369152066
subs_hv_S,,17.0,,,0.0,,,,,0.08110321345971272
subs_hv_S,,17.0,,,1.0,,,,,0.08961736425881606
subs_hv_S,,18.0,,,0.0,,,,,0.09297456722841668
subs_hv_S,,18.0,,,1.0,,,,,0.10673097356098782
subs_hv_S,,19.0,,,0.0,,,,,0.0940609584038481
subs_hv_S,,19.0,,,1.0,,,,,0.10538236473636808
subs_hv_S,,20.0,,,0.0,,,,,0.09135673161334312
subs_hv_S,,20.0,,,1.0,,,,,0.10673097356098782
subs_hv_S,,21.0,,,0.0,,,,,0.0940609584038481
subs_hv_S,,21.0,,,1.0,,,,,0.09474746761735697
subs_hv_S,,22.0,,,0.0,,,,,0.0940609584038481
subs_hv_S,,22.0,,,1.0,,,,,0.10289838914963378
subs_hv_S,,23.0,,,0.0,,,,,0.09244672640443508
subs_hv_S,,23.0,,,1.0,,,,,0.10673097356098782
subs_hv_S,,24.0,,,0.0,,,,,0.0940609584038481
subs_hv_S,,24.0,,,1.0,,,,,0.10359050483775922
subs_hv_P,,1.0,,,0.0,,,,,0.08115665591742616
subs_hv_P,,1.0,,,1.0,,,,,0.09976220741467645
subs_hv_P,,2.0,,,0.0,,,,,0.0798437431821637
subs_hv_P,,2.0,,,1.0,,,,,0.10428344933891731
subs_hv_P,,3.0,,,0.0,,,,,0.08226581113442766
subs_hv_P,,3.0,,,1.0,,,,,0.10468016783172329
subs_hv_P,,4.0,,,0.0,,,,,0.08267128175115701
subs_hv_P,,4.0,,,1.0,,,,,0.09693793812166152
subs_hv_P,,5.0,,,0.0,,,,,0.08279939981731355
subs_hv_P,,5.0,,,1.0,,,,,0.1013445412128735
subs_hv_P,,6.0,,,0.0,,,,,0.08314101587973521
subs_hv_P,,6.0,,,1.0,,,,,0.10468016783172329
subs_hv_P,,7.0,,,0.0,,,,,0.07809394380815915
subs_hv_P,,7.0,,,1.0,,,,,0.09726262625291482
subs_hv_P,,8.0,,,0.0,,,,,0.0704438548349704
subs_hv_P,,8.0,,,1.0,,,,,0.07769422219406952
subs_hv_P,,9.0,,,0.0,,,,,0.05372110494535054
subs_hv_P,,9.0,,,1.0,,,,,0.06702958326654906
subs_hv_P,,10.0,,,0.0,,,,,0.03210268761680579
subs_hv_P,,10.0,,,1.0,,,,,0.021848611973733112
subs_hv_P,,11.0,,,0.0,,,,,0.02201388379413416
subs_hv_P,,11.0,,,1.0,,,,,0.010344056540963376
subs_hv_P,,12.0,,,0.0,,,,,0.011793191407914794
subs_hv_P,,12.0,,,1.0,,,,,0.0
subs_hv_P,,13.0,,,0.0,,,,,0.016625443118474248
subs_hv_P,,13.0,,,1.0,,,,,0.0
subs_hv_P,,14.0,,,0.0,,,,,0.017649778855179488
subs_hv_P,,14.0,,,1.0,,,,,0.0
subs_hv_P,,15.0,,,0.0,,,,,0.03309351199582933
subs_hv_P,,15.0,,,1.0,,,,,0.020767636431741066
subs_hv_P,,16.0,,,0.0,,,,,0.053846268954248266
subs_hv_P,,16.0,,,1.0,,,,,0.046767241870294685
subs_hv_P,,17.0,,,0.0,,,,,0.07182734332713814
subs_hv_P,,17.0,,,1.0,,,,,0.08789539173358119
subs_hv_P,,18.0,,,0.0,,,,,0.08081293431557901
subs_hv_P,,18.0,,,1.0,,,,,0.10468016783172329
subs_hv_P,,19.0,,,0.0,,,,,0.0834719301865583
subs_hv_P,,19.0,,,1.0,,,,,0.10335747214751434
subs_hv_P,,20.0,,,0.0,,,,,0.08017504691114752
subs_hv_P,,20.0,,,1.0,,,,,0.10468016783172329
subs_hv_P,,21.0,,,0.0,,,,,0.08341406877109092
subs_hv_P,,21.0,,,1.0,,,,,0.09292692159458538
subs_hv_P,,22.0,,,0.0,,,,,0.08210912030824868
subs_hv_P,,22.0,,,1.0,,,,,0.10092122545516435
subs_hv_P,,23.0,,,0.0,,,,,0.08175662920751892
subs_hv_P,,23.0,,,1.0,,,,,0.10468016783172329
subs_hv_P,,24.0,,,0.0,,,,,0.08351653195459274
subs_hv_P,,24.0,,,1.0,,,,,0.10160004233441389
subs_hv_Q,,1.0,,,0.0,,,,,0.04514073578947353
subs_hv_Q,,1.0,,,1.0,,,,,0.017106973227681843
subs_hv_Q,,2.0,,,0.0,,,,,0.048310392706175875
subs_hv_Q,,2.0,,,1.0,,,,,0.012435330001273837
subs_hv_Q,,3.0,,,0.0,,,,,0.042462993841481445
subs_hv_Q,,3.0,,,1.0,,,,,0.019144104427124997
subs_hv_Q,,4.0,,,0.0,,,,,0.04148409957812571
subs_hv_Q,,4.0,,,1.0,,,,,0.017367869921506518
subs_hv_Q,,5.0,,,0.0,,,,,0.04117479469925567
subs_hv_Q,,5.0,,,1.0,,,,,0.015913313276765262
subs_hv_Q,,6.0,,,0.0,,,,,0.040350059219105505
subs_hv_Q,,6.0,,,1.0,,,,,0.013420229107013126
subs_hv_Q,,7.0,,,0.0,,,,,0.0400801292532017
subs_hv_Q,,7.0,,,1.0,,,,,0.016014192706179875
subs_hv_Q,,8.0,,,0.0,,,,,0.037037859094730674
subs_hv_Q,,8.0,,,1.0,,,,,0.018143519692812804
subs_hv_Q,,9.0,,,0.0,,,,,0.026906718493081128
subs_hv_Q,,9.0,,,1.0,,,,,0.014863460437080533
subs_hv_Q,,10.0,,,0.0,,,,,0.013741126381556112
subs_hv_Q,,10.0,,,1.0,,,,,0.0065231202244999675
subs_hv_Q,,11.0,,,0.0,,,,,0.0065231202245000786
subs_hv_Q,,11.0,,,1.0,,,,,0.002057550463172131
subs_hv_Q,,12.0,,,0.0,,,,,0.0046261655976129745
subs_hv_Q,,12.0,,,1.0,,,,,0.0
subs_hv_Q,,13.0,,,0.0,,,,,0.0065231202245000786
subs_hv_Q,,13.0,,,1.0,,,,,0.0
subs_hv_Q,,14.0,,,0.0,,,,,0.0065231202245000786
subs_hv_Q,,14.0,,,1.0,,,,,0.0
subs_hv_Q,,15.0,,,0.0,,,,,0.013741126381556112
subs_hv_Q,,15.0,,,1.0,,,,,0.004942409765178235
subs_hv_Q,,16.0,,,0.0,,,,,0.02651864698844919
subs_hv_Q,,16.0,,,1.0,,,,,0.011054501187373278
subs_hv_Q,,17.0,,,0.0,,,,,0.03445408341005696
subs_hv_Q,,17.0,,,1.0,,,,,0.013691148603589998
subs_hv_Q,,18.0,,,0.0,,,,,0.04318622262816618
subs_hv_Q,,18.0,,,1.0,,,,,0.01885173237476634
subs_hv_Q,,19.0,,,0.0,,,,,0.03955116010472748
subs_hv_Q,,19.0,,,1.0,,,,,0.017985856498293762
subs_hv_Q,,20.0,,,0.0,,,,,0.040579840995927485
subs_hv_Q,,20.0,,,1.0,,,,,0.017157270582816908
subs_hv_Q,,21.0,,,0.0,,,,,0.0396908501471952
subs_hv_Q,,21.0,,,1.0,,,,,0.015214630698582532
subs_hv_Q,,22.0,,,0.0,,,,,0.04284127957795314
