Variable,Index1,Index2,Index3,Value
line_opt,,27,Tulip,-0.0
line_opt,,28,Poppy,-0.0
line_opt,,28,Oxlip,-0.0
line_opt,,28,Daisy,-0.0
line_opt,,28,Tulip,-0.0
line_opt,,29,Poppy,0.0
line_opt,,29,Oxlip,-0.0
line_opt,,29,Daisy,-0.0
line_opt,,29,Tulip,-0.0
line_opt,,30,Poppy,-0.0
line_opt,,30,Oxlip,-0.0
line_opt,,30,Daisy,-0.0
line_opt,,30,Tulip,-0.0
line_opt,,31,Poppy,-0.0
line_opt,,31,Oxlip,-0.0
line_opt,,31,Daisy,-0.0
line_opt,,31,Tulip,-0.0
line_opt,,32,Poppy,-0.0
line_opt,,32,Oxlip,-0.0
line_opt,,32,Daisy,-0.0
line_opt,,32,Tulip,-0.0
line_opt,,33,Poppy,-0.0
line_opt,,33,Oxlip,-0.0
line_opt,,33,Daisy,-0.0
line_opt,,33,Tulip,-0.0
line_opt,,34,Poppy,-0.0
line_opt,,34,Oxlip,1.0
line_opt,,34,Daisy,0.0
line_opt,,34,Tulip,0.0
line_opt,,35,Poppy,5.3191845444334265e-09
line_opt,,35,Oxlip,2.0086245405908667e-09
line_opt,,35,Daisy,2.2171577660696877e-10
line_opt,,35,Tulip,-0.0
line_opt,,36,Poppy,1.0
line_opt,,36,Oxlip,-0.0
line_opt,,36,Daisy,0.0
line_opt,,36,Tulip,-0.0
line_opt,,37,Poppy,-0.0
line_opt,,37,Oxlip,1.0
line_opt,,37,Daisy,-0.0
line_opt,,37,Tulip,0.0
line_opt,,38,Poppy,0.9999982596728594
line_opt,,38,Oxlip,-0.0
line_opt,,38,Daisy,1.0494189032785137e-06
line_opt,,38,Tulip,6.9090843075e-07
line_opt,,39,Poppy,-0.0
line_opt,,39,Oxlip,-0.0
line_opt,,39,Daisy,-0.0
line_opt,,39,Tulip,-0.0
line_opt,,40,Poppy,0.9999986584439333
line_opt,,40,Oxlip,1.1335106171245302e-13
line_opt,,40,Daisy,1.1318241154830389e-13
line_opt,,40,Tulip,1.3415558399772208e-06
line_opt,,41,Poppy,0.0
line_opt,,41,Oxlip,-0.0
line_opt,,41,Daisy,-0.0
line_opt,,41,Tulip,-0.0
line_opt,,42,Poppy,-0.0
line_opt,,42,Oxlip,-0.0
line_opt,,42,Daisy,-0.0
line_opt,,42,Tulip,-0.0
line_opt,,43,Poppy,0.9999999998225648
line_opt,,43,Oxlip,-0.0
line_opt,,43,Daisy,-2.0058711534092312e-17
line_opt,,43,Tulip,3.425972996727e-13
line_opt,,44,Poppy,0.9999999959998691
line_opt,,44,Oxlip,-0.0
line_opt,,44,Daisy,3.912849569287625e-09
line_opt,,44,Tulip,8.717681936070558e-11
line_opt,,45,Poppy,-0.0
line_opt,,45,Oxlip,-0.0
line_opt,,45,Daisy,-0.0
line_opt,,45,Tulip,-0.0
line_opt,,46,Poppy,1.0
line_opt,,46,Oxlip,-0.0
line_opt,,46,Daisy,-0.0
line_opt,,46,Tulip,2.2651735164965968e-18
line_opt,,47,Poppy,0.9999999994340438
line_opt,,47,Oxlip,-0.0
line_opt,,47,Daisy,1.6528796112616211e-10
line_opt,,47,Tulip,4.0070296100833826e-10
line_opt,,48,Poppy,-0.0
line_opt,,48,Oxlip,-0.0
line_opt,,48,Daisy,-0.0
line_opt,,48,Tulip,-0.0
line_opt,,49,Poppy,-0.0
line_opt,,49,Oxlip,-0.0
line_opt,,49,Daisy,-0.0
line_opt,,49,Tulip,-0.0
line_opt,,50,Poppy,-0.0
line_opt,,50,Oxlip,-0.0
line_opt,,50,Daisy,-0.0
line_opt,,50,Tulip,-0.0
line_opt,,51,Poppy,-0.0
line_opt,,51,Oxlip,-0.0
line_opt,,51,Daisy,-0.0
line_opt,,51,Tulip,-0.0
line_opt,,52,Poppy,1.0
line_opt,,52,Oxlip,-0.0
line_opt,,52,Daisy,-0.0
line_opt,,52,Tulip,-0.0
line_opt,,53,Poppy,0.9999999865166539
line_opt,,53,Oxlip,5.766623996848189e-09
line_opt,,53,Daisy,1.6715071565055094e-10
line_opt,,53,Tulip,-0.0
line_opt,,54,Poppy,-0.0
line_opt,,54,Oxlip,-0.0
line_opt,,54,Daisy,-0.0
line_opt,,54,Tulip,-0.0
line_opt,,55,Poppy,-0.0
line_opt,,55,Oxlip,-0.0
line_opt,,55,Daisy,-0.0
line_opt,,55,Tulip,-0.0
line_opt,,56,Poppy,-0.0
line_opt,,56,Oxlip,-0.0
line_opt,,56,Daisy,-0.0
line_opt,,56,Tulip,-0.0
line_opt,,57,Poppy,-0.0
line_opt,,57,Oxlip,-0.0
line_opt,,57,Daisy,-0.0
line_opt,,57,Tulip,-0.0
line_opt,,58,Poppy,-0.0
line_opt,,58,Oxlip,-0.0
line_opt,,58,Daisy,-0.0
line_opt,,58,Tulip,-0.0
line_opt,,59,Poppy,-0.0
line_opt,,59,Oxlip,-0.0
line_opt,,59,Daisy,-0.0
line_opt,,59,Tulip,-0.0
line_act_plus,,,0,1.0
line_act_plus,,,1,-0.0
line_act_plus,,,2,0.0
line_act_plus,,,3,-0.0
line_act_plus,,,4,-0.0
line_act_plus,,,5,-0.0
line_act_plus,,,6,0.0
line_act_plus,,,7,1.0
line_act_plus,,,8,1.0
line_act_plus,,,9,-0.0
line_act_plus,,,10,-0.0
line_act_plus,,,11,-0.0
line_act_plus,,,12,-0.0
line_act_plus,,,13,0.0
line_act_plus,,,14,-0.0
line_act_plus,,,15,0.0
line_act_plus,,,16,0.0
line_act_plus,,,17,1.0
line_act_plus,,,18,0.0
line_act_plus,,,19,1.0
line_act_plus,,,20,1.0
line_act_plus,,,21,-0.0
line_act_plus,,,22,-0.0
line_act_plus,,,23,-0.0
line_act_plus,,,24,-0.0
line_act_plus,,,25,-0.0
line_act_plus,,,26,0.0
line_act_plus,,,27,-0.0
line_act_plus,,,28,-0.0
line_act_plus,,,29,0.0
line_act_plus,,,30,-0.0
line_act_plus,,,31,-0.0
line_act_plus,,,32,-0.0
line_act_plus,,,33,-0.0
line_act_plus,,,34,1.0
line_act_plus,,,35,7.549589630076752e-09
line_act_plus,,,36,1.0
line_act_plus,,,37,1.0
line_act_plus,,,38,-0.0
line_act_plus,,,39,-0.0
line_act_plus,,,40,-0.0
line_act_plus,,,41,-0.0
line_act_plus,,,42,-0.0
line_act_plus,,,43,1.0
line_act_plus,,,44,-0.0
line_act_plus,,,45,-0.0
line_act_plus,,,46,-0.0
line_act_plus,,,47,-0.0
line_act_plus,,,48,-0.0
line_act_plus,,,49,0.0
line_act_plus,,,50,-0.0
line_act_plus,,,51,-0.0
line_act_plus,,,52,1.0
line_act_plus,,,53,-0.0
line_act_plus,,,54,-0.0
line_act_plus,,,55,-0.0
line_act_plus,,,56,-0.0
line_act_plus,,,57,-0.0
line_act_plus,,,58,0.0
line_act_plus,,,59,0.0
line_act_minus,,,0,0.0
line_act_minus,,,1,0.0
line_act_minus,,,2,-0.0
line_act_minus,,,3,0.0
line_act_minus,,,4,0.0
line_act_minus,,,5,0.0
line_act_minus,,,6,0.0
line_act_minus,,,7,0.0
line_act_minus,,,8,0.0
line_act_minus,,,9,0.0
line_act_minus,,,10,0.0
line_act_minus,,,11,0.0
line_act_minus,,,12,0.0
line_act_minus,,,13,0.0
line_act_minus,,,14,0.0
line_act_minus,,,15,0.0
line_act_minus,,,16,0.0
line_act_minus,,,17,0.0
line_act_minus,,,18,0.0
line_act_minus,,,19,0.0
line_act_minus,,,20,0.0
line_act_minus,,,21,0.0
line_act_minus,,,22,0.0
line_act_minus,,,23,0.0
line_act_minus,,,24,0.0
line_act_minus,,,25,0.0
line_act_minus,,,26,0.0
line_act_minus,,,27,0.0
line_act_minus,,,28,0.0
line_act_minus,,,29,0.0
line_act_minus,,,30,0.0
line_act_minus,,,31,0.0
line_act_minus,,,32,0.0
line_act_minus,,,33,0.0
line_act_minus,,,34,0.0
line_act_minus,,,35,0.0
line_act_minus,,,36,0.0
line_act_minus,,,37,0.0
line_act_minus,,,38,1.0
line_act_minus,,,39,-0.0
line_act_minus,,,40,1.0
line_act_minus,,,41,0.0
line_act_minus,,,42,-0.0
line_act_minus,,,43,-0.0
line_act_minus,,,44,1.0
line_act_minus,,,45,-0.0
line_act_minus,,,46,1.0
line_act_minus,,,47,1.0
line_act_minus,,,48,-0.0
line_act_minus,,,49,-0.0
line_act_minus,,,50,-0.0
line_act_minus,,,51,-0.0
line_act_minus,,,52,-0.0
line_act_minus,,,53,0.9999999924504105
line_act_minus,,,54,-0.0
line_act_minus,,,55,-0.0
line_act_minus,,,56,-0.0
line_act_minus,,,57,-0.0
line_act_minus,,,58,-0.0
line_act_minus,,,59,0.0
subs_hv_capacity,,,0,57.8137374059134
subs_hv_capacity,,,1,66.262890578829
subs_hv_S,,1,0,57.8137374059134
subs_hv_S,,1,1,66.262890578829
subs_hv_P,,1,0,40.09278629807798
subs_hv_P,,1,1,46.802929622154984
subs_hv_Q,,1,0,40.09717109091539
subs_hv_Q,,1,1,45.10633987690237
beta,,,0,1.0
beta,,,1,1.0
subs_mv_capacity,,,2,12.386282230639953
subs_mv_capacity,,,3,0.0
subs_mv_capacity,,,4,0.0
subs_mv_capacity,,,5,20.8255874253173
subs_mv_S,,1,2,12.386282230639953
subs_mv_S,,1,3,0.0
subs_mv_S,,1,4,0.0
subs_mv_S,,1,5,20.8255874253173
subs_mv_P,,1,2,7.087348780974764
subs_mv_P,,1,3,0.0
subs_mv_P,,1,4,0.0
subs_mv_P,,1,5,11.7898244736501
subs_mv_Q,,1,2,10.09291820832854
subs_mv_Q,,1,3,0.0
subs_mv_Q,,1,4,0.0
subs_mv_Q,,1,5,17.096095087504857
gamma,,,2,1.0
gamma,,,3,0.0
gamma,,,4,-0.0
gamma,,,5,1.0
current_squared_k,1,0,Poppy,3295.0882231710257
current_squared_k,1,0,Oxlip,5.5612334719453305e-06
current_squared_k,1,0,Daisy,0.0
current_squared_k,1,0,Tulip,0.0
current_squared_k,1,1,Poppy,0.0
current_squared_k,1,1,Oxlip,0.0
current_squared_k,1,1,Daisy,0.0
current_squared_k,1,1,Tulip,0.0
current_squared_k,1,2,Poppy,0.0
current_squared_k,1,2,Oxlip,0.0
current_squared_k,1,2,Daisy,0.0
current_squared_k,1,2,Tulip,0.0
current_squared_k,1,3,Poppy,0.0
current_squared_k,1,3,Oxlip,0.0
current_squared_k,1,3,Daisy,0.0
current_squared_k,1,3,Tulip,0.0
current_squared_k,1,4,Poppy,0.0
current_squared_k,1,4,Oxlip,0.0
current_squared_k,1,4,Daisy,0.0
current_squared_k,1,4,Tulip,0.0
current_squared_k,1,5,Poppy,0.0
current_squared_k,1,5,Oxlip,0.0
current_squared_k,1,5,Daisy,0.0
current_squared_k,1,5,Tulip,0.0
current_squared_k,1,6,Poppy,1.515851019988404e-07
current_squared_k,1,6,Oxlip,0.0
current_squared_k,1,6,Daisy,0.0
current_squared_k,1,6,Tulip,0.0
current_squared_k,1,7,Poppy,4564.429122923705
current_squared_k,1,7,Oxlip,0.0
current_squared_k,1,7,Daisy,0.0
current_squared_k,1,7,Tulip,0.0
current_squared_k,1,8,Poppy,2233.743859367502
current_squared_k,1,8,Oxlip,1.9222173730284724e-06
current_squared_k,1,8,Daisy,0.0
current_squared_k,1,8,Tulip,1.8887221813201904e-06
current_squared_k,1,9,Poppy,0.0
current_squared_k,1,9,Oxlip,0.0
current_squared_k,1,9,Daisy,0.0
current_squared_k,1,9,Tulip,0.0
current_squared_k,1,10,Poppy,0.0
current_squared_k,1,10,Oxlip,0.0
current_squared_k,1,10,Daisy,0.0
current_squared_k,1,10,Tulip,0.0
current_squared_k,1,11,Poppy,0.0
current_squared_k,1,11,Oxlip,0.0
current_squared_k,1,11,Daisy,0.0
current_squared_k,1,11,Tulip,0.0
current_squared_k,1,12,Poppy,0.0
current_squared_k,1,12,Oxlip,0.0
current_squared_k,1,12,Daisy,0.0
current_squared_k,1,12,Tulip,0.0
current_squared_k,1,13,Poppy,0.0
current_squared_k,1,13,Oxlip,0.0
current_squared_k,1,13,Daisy,0.0
current_squared_k,1,13,Tulip,0.0
current_squared_k,1,14,Poppy,0.0
current_squared_k,1,14,Oxlip,0.0
current_squared_k,1,14,Daisy,0.0
current_squared_k,1,14,Tulip,0.0
current_squared_k,1,15,Poppy,0.0
current_squared_k,1,15,Oxlip,0.0
current_squared_k,1,15,Daisy,0.0
current_squared_k,1,15,Tulip,0.0
current_squared_k,1,16,Poppy,0.0
current_squared_k,1,16,Oxlip,0.0
current_squared_k,1,16,Daisy,0.0
current_squared_k,1,16,Tulip,0.0
current_squared_k,1,17,Poppy,149.27489555671517
current_squared_k,1,17,Oxlip,0.0
current_squared_k,1,17,Daisy,0.0
current_squared_k,1,17,Tulip,0.0
current_squared_k,1,18,Poppy,1.3643286781827445e-05
current_squared_k,1,18,Oxlip,3.388249434746098e-05
current_squared_k,1,18,Daisy,0.0
current_squared_k,1,18,Tulip,0.0
current_squared_k,1,19,Poppy,1103.5648073576742
current_squared_k,1,19,Oxlip,141.92043947240452
current_squared_k,1,19,Daisy,1.8887221813201904e-06
current_squared_k,1,19,Tulip,1.8887221813201904e-06
current_squared_k,1,20,Poppy,0.0
current_squared_k,1,20,Oxlip,155.40105373216772
current_squared_k,1,20,Daisy,0.0
current_squared_k,1,20,Tulip,0.0
current_squared_k,1,21,Poppy,0.0
current_squared_k,1,21,Oxlip,0.0
current_squared_k,1,21,Daisy,0.0
current_squared_k,1,21,Tulip,0.0
current_squared_k,1,22,Poppy,0.0
current_squared_k,1,22,Oxlip,0.0
current_squared_k,1,22,Daisy,0.0
current_squared_k,1,22,Tulip,0.0
current_squared_k,1,23,Poppy,0.0
current_squared_k,1,23,Oxlip,0.0
current_squared_k,1,23,Daisy,0.0
current_squared_k,1,23,Tulip,0.0
current_squared_k,1,24,Poppy,0.0
current_squared_k,1,24,Oxlip,0.0
current_squared_k,1,24,Daisy,0.0
