Code word,q [mm2],r [ohm/km],xl [ohm/km],imax [kA],cost [keur/km]
Poppy,53.50,0.0,0.00,0.23,10
Oxlip,107.3,0.0,0.00,0.34,12
Daisy,135.3,0.0,0.00,0.46,15
Tulip,170.6,0.0,0.00,0.53,20
