Name,lv_load,periods,lines,conductors,subs_hv,subs_mv,buses,SetUnion_OrderedSet,NPWB,Value
line_opt,,,18.0,Poppy,,,,,,1.0
line_opt,,,18.0,Oxlip,,,,,,0.0
line_opt,,,18.0,Daisy,,,,,,0.0
line_opt,,,18.0,Tulip,,,,,,0.0
line_opt,,,20.0,Poppy,,,,,,1.0
line_opt,,,20.0,Oxlip,,,,,,0.0
line_opt,,,20.0,Daisy,,,,,,0.0
line_opt,,,20.0,Tulip,,,,,,0.0
line_opt,,,52.0,Poppy,,,,,,1.0
line_opt,,,52.0,Oxlip,,,,,,0.0
line_opt,,,52.0,Daisy,,,,,,0.0
line_opt,,,52.0,Tulip,,,,,,0.0
line_opt,,,53.0,Poppy,,,,,,1.0
line_opt,,,53.0,Oxlip,,,,,,0.0
line_opt,,,53.0,Daisy,,,,,,0.0
line_opt,,,53.0,Tulip,,,,,,0.0
line_act,,,0.0,,,,,,,1.0
line_act,,,34.0,,,,,,,1.0
line_act,,,36.0,,,,,,,1.0
line_act,,,37.0,,,,,,,1.0
line_act,,,38.0,,,,,,,1.0
line_act,,,7.0,,,,,,,1.0
line_act,,,8.0,,,,,,,1.0
line_act,,,40.0,,,,,,,1.0
line_act,,,43.0,,,,,,,1.0
line_act,,,44.0,,,,,,,1.0
line_act,,,46.0,,,,,,,1.0
line_act,,,47.0,,,,,,,1.0
line_act,,,17.0,,,,,,,1.0
line_act,,,18.0,,,,,,,1.0
line_act,,,20.0,,,,,,,1.0
line_act,,,52.0,,,,,,,1.0
line_act,,,53.0,,,,,,,1.0
subs_hv_capacity,,,,,0.0,,,,,0.15926111580490585
subs_hv_capacity,,,,,1.0,,,,,0.17877362434506208
subs_hv_S,,1.0,,,0.0,,,,,0.15128698949473218
subs_hv_S,,1.0,,,1.0,,,,,0.17877362434506194
subs_hv_S,,2.0,,,0.0,,,,,0.15926111580490598
subs_hv_S,,2.0,,,1.0,,,,,0.17877362434506194
subs_hv_S,,3.0,,,0.0,,,,,0.14880513011177499
subs_hv_S,,3.0,,,1.0,,,,,0.17160863510070223
subs_hv_S,,4.0,,,0.0,,,,,0.14562429111088093
subs_hv_S,,4.0,,,1.0,,,,,0.17877362434506194
subs_hv_S,,5.0,,,0.0,,,,,0.14352946687001022
subs_hv_S,,5.0,,,1.0,,,,,0.1661530781750682
subs_hv_S,,6.0,,,0.0,,,,,0.1431155280394858
subs_hv_S,,6.0,,,1.0,,,,,0.1710785635109935
subs_hv_S,,7.0,,,0.0,,,,,0.13751680245876763
subs_hv_S,,7.0,,,1.0,,,,,0.16675282225323684
subs_hv_S,,8.0,,,0.0,,,,,0.11482842147860772
subs_hv_S,,8.0,,,1.0,,,,,0.13183033079858442
subs_hv_S,,9.0,,,0.0,,,,,0.09668539247880581
subs_hv_S,,9.0,,,1.0,,,,,0.09197883424678333
subs_hv_S,,10.0,,,0.0,,,,,0.06111551743377852
subs_hv_S,,10.0,,,1.0,,,,,0.06703308812764641
subs_hv_S,,11.0,,,0.0,,,,,0.06542636448541295
subs_hv_S,,11.0,,,1.0,,,,,0.05684783637947177
subs_hv_S,,12.0,,,0.0,,,,,0.07034310848004566
subs_hv_S,,12.0,,,1.0,,,,,0.0641311441046124
subs_hv_S,,13.0,,,0.0,,,,,0.06282248813680802
subs_hv_S,,13.0,,,1.0,,,,,0.054286179330576445
subs_hv_S,,14.0,,,0.0,,,,,0.07768561079714509
subs_hv_S,,14.0,,,1.0,,,,,0.07053457184239642
subs_hv_S,,15.0,,,0.0,,,,,0.10056952212746673
subs_hv_S,,15.0,,,1.0,,,,,0.08538623380699217
subs_hv_S,,16.0,,,0.0,,,,,0.10927008832771712
subs_hv_S,,16.0,,,1.0,,,,,0.13568270511924174
subs_hv_S,,17.0,,,0.0,,,,,0.15286194587104518
subs_hv_S,,17.0,,,1.0,,,,,0.1658712849851569
subs_hv_S,,18.0,,,0.0,,,,,0.14135820287544476
subs_hv_S,,18.0,,,1.0,,,,,0.16624433237347347
subs_hv_S,,19.0,,,0.0,,,,,0.15926111580490598
subs_hv_S,,19.0,,,1.0,,,,,0.1601353276723989
subs_hv_S,,20.0,,,0.0,,,,,0.14851794338354019
subs_hv_S,,20.0,,,1.0,,,,,0.175141438367028
subs_hv_S,,21.0,,,0.0,,,,,0.1491539210084305
subs_hv_S,,21.0,,,1.0,,,,,0.17877362434506194
subs_hv_S,,22.0,,,0.0,,,,,0.14830863467903832
subs_hv_S,,22.0,,,1.0,,,,,0.16952116566596276
subs_hv_S,,23.0,,,0.0,,,,,0.15926111580490598
subs_hv_S,,23.0,,,1.0,,,,,0.15647622205579914
subs_hv_S,,24.0,,,0.0,,,,,0.1461251033235822
subs_hv_S,,24.0,,,1.0,,,,,0.16893429995893383
subs_hv_P,,1.0,,,0.0,,,,,0.13310194926065044
subs_hv_P,,1.0,,,1.0,,,,,0.1753385392819733
subs_hv_P,,2.0,,,0.0,,,,,0.14047958723970844
subs_hv_P,,2.0,,,1.0,,,,,0.1753385392819733
subs_hv_P,,3.0,,,0.0,,,,,0.1306879339385958
subs_hv_P,,3.0,,,1.0,,,,,0.16831122329685755
subs_hv_P,,4.0,,,0.0,,,,,0.1306225309151614
subs_hv_P,,4.0,,,1.0,,,,,0.1753385392819733
subs_hv_P,,5.0,,,0.0,,,,,0.1279307210292231
subs_hv_P,,5.0,,,1.0,,,,,0.16296049336779417
subs_hv_P,,6.0,,,0.0,,,,,0.1275230100378426
subs_hv_P,,6.0,,,1.0,,,,,0.16779133688411152
subs_hv_P,,7.0,,,0.0,,,,,0.12281149239802325
subs_hv_P,,7.0,,,1.0,,,,,0.1635487135316711
subs_hv_P,,8.0,,,0.0,,,,,0.10004196091546724
subs_hv_P,,8.0,,,1.0,,,,,0.1292461331232606
