Name,buses,periods,lines,conductors,subs_hv,subs_mv,SetUnion_OrderedSet,lv_load,NPWB,Value
line_opt,,,47.0,Daisy,,,,,,0.0
line_opt,,,47.0,Tulip,,,,,,0.0
line_opt,,,17.0,Poppy,,,,,,0.9999999800008227
line_opt,,,17.0,Oxlip,,,,,,0.0
line_opt,,,17.0,Daisy,,,,,,1.9999177357546457e-08
line_opt,,,17.0,Tulip,,,,,,0.0
line_opt,,,18.0,Poppy,,,,,,0.999999943393332
line_opt,,,18.0,Oxlip,,,,,,3.660749073390258e-08
line_opt,,,18.0,Daisy,,,,,,1.999917735784676e-08
line_opt,,,18.0,Tulip,,,,,,0.0
line_opt,,,20.0,Poppy,,,,,,0.0
line_opt,,,20.0,Oxlip,,,,,,1.0
line_opt,,,20.0,Daisy,,,,,,0.0
line_opt,,,20.0,Tulip,,,,,,0.0
line_opt,,,52.0,Poppy,,,,,,1.0
line_opt,,,52.0,Oxlip,,,,,,0.0
line_opt,,,52.0,Daisy,,,,,,0.0
line_opt,,,52.0,Tulip,,,,,,0.0
line_opt,,,53.0,Poppy,,,,,,1.0
line_opt,,,53.0,Oxlip,,,,,,0.0
line_opt,,,53.0,Daisy,,,,,,0.0
line_opt,,,53.0,Tulip,,,,,,0.0
line_act,,,0.0,,,,,,,1.0
line_act,,,34.0,,,,,,,1.0
line_act,,,36.0,,,,,,,1.0
line_act,,,37.0,,,,,,,1.0
line_act,,,38.0,,,,,,,1.0
line_act,,,7.0,,,,,,,1.0
line_act,,,8.0,,,,,,,1.0
line_act,,,40.0,,,,,,,1.0
line_act,,,43.0,,,,,,,1.0
line_act,,,44.0,,,,,,,1.0
line_act,,,46.0,,,,,,,1.0
line_act,,,47.0,,,,,,,1.0
line_act,,,17.0,,,,,,,1.0
line_act,,,18.0,,,,,,,1.0
line_act,,,20.0,,,,,,,1.0
line_act,,,52.0,,,,,,,1.0
line_act,,,53.0,,,,,,,1.0
subs_hv_capacity,,,,,0.0,,,,,0.08605246243548914
subs_hv_capacity,,,,,1.0,,,,,0.09653817403518164
subs_hv_S,,1.0,,,0.0,,,,,0.08571371344271869
subs_hv_S,,1.0,,,1.0,,,,,0.0933564033583372
subs_hv_S,,2.0,,,0.0,,,,,0.08295156028959777
subs_hv_S,,2.0,,,1.0,,,,,0.09653817403518164
subs_hv_S,,3.0,,,0.0,,,,,0.08336995132923464
subs_hv_S,,3.0,,,1.0,,,,,0.09253412720413842
subs_hv_S,,4.0,,,0.0,,,,,0.08605246243548914
subs_hv_S,,4.0,,,1.0,,,,,0.08688162838871731
subs_hv_S,,5.0,,,0.0,,,,,0.08215216659991646
subs_hv_S,,5.0,,,1.0,,,,,0.09653817403518164
subs_hv_S,,6.0,,,0.0,,,,,0.08339758685018382
subs_hv_S,,6.0,,,1.0,,,,,0.08898481578505196
subs_hv_S,,7.0,,,0.0,,,,,0.0740946167570014
subs_hv_S,,7.0,,,1.0,,,,,0.08299030803636276
subs_hv_S,,8.0,,,0.0,,,,,0.0482563698682254
subs_hv_S,,8.0,,,1.0,,,,,0.04862972494443086
subs_hv_S,,9.0,,,0.0,,,,,0.017413042509464925
subs_hv_S,,9.0,,,1.0,,,,,0.010517975974028364
subs_hv_S,,10.0,,,0.0,,,,,0.0
subs_hv_S,,10.0,,,1.0,,,,,0.0
subs_hv_S,,11.0,,,0.0,,,,,0.0
subs_hv_S,,11.0,,,1.0,,,,,0.0
subs_hv_S,,12.0,,,0.0,,,,,0.0
subs_hv_S,,12.0,,,1.0,,,,,0.0
subs_hv_S,,13.0,,,0.0,,,,,0.0
subs_hv_S,,13.0,,,1.0,,,,,0.0
subs_hv_S,,14.0,,,0.0,,,,,0.0038140042519007353
subs_hv_S,,14.0,,,1.0,,,,,0.0
subs_hv_S,,15.0,,,0.0,,,,,0.032605832095300484
subs_hv_S,,15.0,,,1.0,,,,,0.024322909017927098
subs_hv_S,,16.0,,,0.0,,,,,0.05620899968363379
subs_hv_S,,16.0,,,1.0,,,,,0.0636511822497437
subs_hv_S,,17.0,,,0.0,,,,,0.08605246243548914
subs_hv_S,,17.0,,,1.0,,,,,0.09429486592801577
subs_hv_S,,18.0,,,0.0,,,,,0.08605246243548914
subs_hv_S,,18.0,,,1.0,,,,,0.09145120652556905
subs_hv_S,,19.0,,,0.0,,,,,0.08605246243548914
subs_hv_S,,19.0,,,1.0,,,,,0.09653817403518164
subs_hv_S,,20.0,,,0.0,,,,,0.08605246243548914
subs_hv_S,,20.0,,,1.0,,,,,0.09539322664057817
subs_hv_S,,21.0,,,0.0,,,,,0.08526289664848168
subs_hv_S,,21.0,,,1.0,,,,,0.09562891130935051
subs_hv_S,,22.0,,,0.0,,,,,0.08327632876157197
subs_hv_S,,22.0,,,1.0,,,,,0.09653817403518164
subs_hv_S,,23.0,,,0.0,,,,,0.08386450012015681
subs_hv_S,,23.0,,,1.0,,,,,0.09410986050858904
subs_hv_S,,24.0,,,0.0,,,,,0.08563858085821062
subs_hv_S,,24.0,,,1.0,,,,,0.08918383524127531
subs_hv_P,,1.0,,,0.0,,,,,0.060485553727977835
subs_hv_P,,1.0,,,1.0,,,,,0.06476074586509932
subs_hv_P,,2.0,,,0.0,,,,,0.058465148412813805
subs_hv_P,,2.0,,,1.0,,,,,0.06712096905949937
subs_hv_P,,3.0,,,0.0,,,,,0.05714333702697664
subs_hv_P,,3.0,,,1.0,,,,,0.06741451027357427
subs_hv_P,,4.0,,,0.0,,,,,0.05789832056664106
subs_hv_P,,4.0,,,1.0,,,,,0.05914340629294809
subs_hv_P,,5.0,,,0.0,,,,,0.05750108785064659
subs_hv_P,,5.0,,,1.0,,,,,0.061191808989927966
subs_hv_P,,6.0,,,0.0,,,,,0.05671346310164732
subs_hv_P,,6.0,,,1.0,,,,,0.06414457825320038
subs_hv_P,,7.0,,,0.0,,,,,0.051787681535945394
subs_hv_P,,7.0,,,1.0,,,,,0.06278471520524632
subs_hv_P,,8.0,,,0.0,,,,,0.03137907886634642
subs_hv_P,,8.0,,,1.0,,,,,0.0336442159040601
subs_hv_P,,9.0,,,0.0,,,,,0.007787101702800472
subs_hv_P,,9.0,,,1.0,,,,,0.008745377711640587
subs_hv_P,,10.0,,,0.0,,,,,0.0
subs_hv_P,,10.0,,,1.0,,,,,0.0
subs_hv_P,,11.0,,,0.0,,,,,0.0
subs_hv_P,,11.0,,,1.0,,,,,0.0
subs_hv_P,,12.0,,,0.0,,,,,0.0
subs_hv_P,,12.0,,,1.0,,,,,0.0
subs_hv_P,,13.0,,,0.0,,,,,0.0
subs_hv_P,,13.0,,,1.0,,,,,0.0
subs_hv_P,,14.0,,,0.0,,,,,0.0031712287477207706
subs_hv_P,,14.0,,,1.0,,,,,0.0
