Pandapower Network Debug Info
==================================================

BUS:
           name  vn_kv type  zone  in_service   geo
0         Bus 8    0.4    b  None        True  None
1         Bus 9    0.4    b  None        True  None
2        Bus 10    0.4    b  None        True  None
3        Bus 11    0.4    b  None        True  None
4        Bus 16    0.4    b  None        True  None
5        Bus 17    0.4    b  None        True  None
6        Bus 18    0.4    b  None        True  None
7        Bus 19    0.4    b  None        True  None
8        Bus 20    0.4    b  None        True  None
9        Bus 21   15.0    b  None        True  None
10       Bus 22   15.0    b  None        True  None
11       Bus 23   15.0    b  None        True  None
12       Bus 24   15.0    b  None        True  None
13       Bus 25   15.0    b  None        True  None
14       Bus 26   15.0    b  None        True  None
15     Sub MV 2   15.0    b  None        True  None
16     Sub LV 2    0.4    b  None        True  None
17     Sub MV 3   15.0    b  None        True  None
18     Sub LV 3    0.4    b  None        True  None
19     Sub MV 4   15.0    b  None        True  None
20     Sub LV 4    0.4    b  None        True  None
21     Sub MV 5   15.0    b  None        True  None
22     Sub LV 5    0.4    b  None        True  None
23  Slack HV 27   70.0    b  None        True  None
24  Slack MV 27   15.0    b  None        True  None
--------------------------------------------------

LOAD:
            name  bus      p_mw    q_mvar  const_z_percent  const_i_percent  sn_mva  scaling  in_service type
0      Load 8 T1    0  0.054708 -0.018136              0.0              0.0     NaN      1.0        True  wye
1      Load 8 T2    0  0.058512 -0.017381              0.0              0.0     NaN      1.0        True  wye
2      Load 8 T3    0  0.056376 -0.019367              0.0              0.0     NaN      1.0        True  wye
3      Load 8 T4    0  0.055215 -0.017793              0.0              0.0     NaN      1.0        True  wye
4      Load 8 T5    0  0.061121 -0.019690              0.0              0.0     NaN      1.0        True  wye
5      Load 8 T6    0  0.061201 -0.019572              0.0              0.0     NaN      1.0        True  wye
6      Load 8 T7    0  0.040555 -0.019292              0.0              0.0     NaN      1.0        True  wye
7      Load 8 T8    0  0.042801 -0.017693              0.0              0.0     NaN      1.0        True  wye
8      Load 8 T9    0  0.050427 -0.017375              0.0              0.0     NaN      1.0        True  wye
9     Load 8 T10    0  0.036249 -0.012885              0.0              0.0     NaN      1.0        True  wye
10    Load 8 T11    0  0.031670 -0.015463              0.0              0.0     NaN      1.0        True  wye
11    Load 8 T12    0  0.037210 -0.013105              0.0              0.0     NaN      1.0        True  wye
12    Load 8 T13    0  0.043605 -0.015480              0.0              0.0     NaN      1.0        True  wye
13    Load 8 T14    0  0.037153 -0.018357              0.0              0.0     NaN      1.0        True  wye
14    Load 8 T15    0  0.041628 -0.018682              0.0              0.0     NaN      1.0        True  wye
15    Load 8 T16    0  0.055964 -0.017325              0.0              0.0     NaN      1.0        True  wye
16    Load 8 T17    0  0.047182 -0.017371              0.0              0.0     NaN      1.0        True  wye
17    Load 8 T18    0  0.056465 -0.017544              0.0              0.0     NaN      1.0        True  wye
18    Load 8 T19    0  0.043272 -0.018414              0.0              0.0     NaN      1.0        True  wye
19    Load 8 T20    0  0.052088 -0.020075              0.0              0.0     NaN      1.0        True  wye
20    Load 8 T21    0  0.042320 -0.019311              0.0              0.0     NaN      1.0        True  wye
21    Load 8 T22    0  0.059139 -0.018658              0.0              0.0     NaN      1.0        True  wye
22    Load 8 T23    0  0.054966 -0.018906              0.0              0.0     NaN      1.0        True  wye
23    Load 8 T24    0  0.053281 -0.016718              0.0              0.0     NaN      1.0        True  wye
24     Load 9 T1    1  0.081511 -0.004610              0.0              0.0     NaN      1.0        True  wye
25     Load 9 T2    1  0.069520 -0.007634              0.0              0.0     NaN      1.0        True  wye
