Line ID,from bus,to bus
0,0,37
1,0,38
2,0,39
3,0,40
4,0,41
5,0,42
6,0,43
7,0,44
8,37,11
9,37,16
10,37,12
11,38,11
12,38,16
13,38,12
14,39,2
15,39,3
16,39,5
17,39,8
18,40,2
19,40,3
20,40,5
21,40,8
22,41,32
23,41,36
24,41,30
25,42,32
26,42,36
27,42,30
28,43,21
29,43,29
30,43,25
31,43,23
32,43,20
33,43,26
34,43,27
35,44,21
36,44,29
37,44,25
38,44,23
39,44,20
40,44,26
41,44,27
42,37,19
43,37,18
44,37,9
45,37,14
46,37,13
47,37,10
48,37,17
49,37,15
50,38,19
51,38,18
52,38,9
53,38,14
54,38,13
55,38,10
56,38,17
57,38,15
58,39,7
59,39,4
60,39,6
61,39,1
62,40,7
63,40,4
64,40,6
65,40,1
66,41,34
67,41,33
68,41,35
69,41,31
70,42,34
71,42,33
72,42,35
73,42,31
74,43,24
75,43,22
76,43,28
77,44,24
78,44,22
79,44,28
80,3,2
81,5,2
82,8,2
83,5,3
84,8,3
85,8,5
86,12,11
87,16,11
88,16,12
89,25,20
90,26,20
91,27,20
92,23,21
93,25,21
94,29,21
95,25,23
96,29,23
97,26,25
98,27,25
99,29,25
100,27,26
101,32,30
102,36,30
103,36,32
104,4,1
105,6,1
106,7,1
107,6,4
108,7,4
109,7,6
110,13,9
111,17,9
112,18,9
113,19,9
114,13,10
115,14,10
116,15,10
117,14,13
118,15,13
119,17,13
120,18,13
121,15,14
122,19,14
123,17,15
124,19,18
125,24,22
126,28,22
127,28,24
128,33,31
129,34,31
130,35,31
131,34,33
132,35,33
133,35,34
134,38,37
135,40,39
136,42,41
137,44,43
