Method,Presolve,Objective Value,Solve Time (s),Optimality Gap
0,0,27899.948108563156,29.92098879814148,0.0
0,1,27901.748057519388,20.31972026824951,3.574909132305888e-05
0,2,27901.748057519388,47.14479398727417,6.58395988815624e-06
1,0,27901.746751482187,49.35053038597107,0.0
1,1,27901.755477180053,26.853116750717163,9.854561412557212e-05
1,2,27901.748057519388,33.42098784446716,2.0490856235993108e-07
2,0,27901.746160799583,42.43378400802612,0.0
2,1,27901.748057519388,16.693796634674072,0.0
2,2,27901.748057519388,15.976922512054443,0.0
