bus_id,Inv_size_factor,PV_fraction,PV_surf,S_inv,storage_capacity,yearly_cost
3,0.78,1.0,12.0,1.87,0.0,19
4,0.78,1.0,25.0,3.9,0.0,10
1,0.78,1.0,72.0,11.22,0.0,1442
2,0.78,1.0,32.0,4.99,0.0,641
