Name,periods,buses,lines,conductors,subs_hv,subs_mv,SetUnion_OrderedSet,Value
line_opt,,,0.0,Daisy,,,,1.7881411883151162e-05
line_opt,,,0.0,Tulip,,,,1.3470124345536756e-05
line_opt,,,1.0,Poppy,,,,0.0
line_opt,,,1.0,Oxlip,,,,0.0
line_opt,,,1.0,Daisy,,,,0.0
line_opt,,,1.0,Tulip,,,,0.0
line_opt,,,2.0,Poppy,,,,0.0
line_opt,,,2.0,Oxlip,,,,0.0
line_opt,,,2.0,Daisy,,,,0.0
line_opt,,,2.0,Tulip,,,,0.0
line_opt,,,3.0,Poppy,,,,0.0
line_opt,,,3.0,Oxlip,,,,0.0
line_opt,,,3.0,Daisy,,,,0.0
line_opt,,,3.0,Tulip,,,,0.0
line_opt,,,4.0,Poppy,,,,0.9999312201904607
line_opt,,,4.0,Oxlip,,,,5.0898668451130324e-05
line_opt,,,4.0,Daisy,,,,1.7881141088226626e-05
line_opt,,,4.0,Tulip,,,,0.0
line_opt,,,5.0,Poppy,,,,0.0
line_opt,,,5.0,Oxlip,,,,0.0
line_opt,,,5.0,Daisy,,,,0.0
line_opt,,,5.0,Tulip,,,,0.0
line_opt,,,6.0,Poppy,,,,0.0
line_opt,,,6.0,Oxlip,,,,0.0
line_opt,,,6.0,Daisy,,,,0.0
line_opt,,,6.0,Tulip,,,,0.0
line_opt,,,7.0,Poppy,,,,0.0
line_opt,,,7.0,Oxlip,,,,0.0
line_opt,,,7.0,Daisy,,,,0.0
line_opt,,,7.0,Tulip,,,,0.0
line_opt,,,8.0,Poppy,,,,0.0
line_opt,,,8.0,Oxlip,,,,0.0
line_opt,,,8.0,Daisy,,,,0.0
line_opt,,,8.0,Tulip,,,,0.0
line_opt,,,9.0,Poppy,,,,0.0
line_opt,,,9.0,Oxlip,,,,0.0
line_opt,,,9.0,Daisy,,,,0.0
line_opt,,,9.0,Tulip,,,,0.0
line_opt,,,10.0,Poppy,,,,1.0
line_opt,,,10.0,Oxlip,,,,0.0
line_opt,,,10.0,Daisy,,,,0.0
line_opt,,,10.0,Tulip,,,,0.0
line_opt,,,11.0,Poppy,,,,0.0
line_opt,,,11.0,Oxlip,,,,0.0
line_opt,,,11.0,Daisy,,,,0.0
line_opt,,,11.0,Tulip,,,,0.0
line_opt,,,12.0,Poppy,,,,0.0
line_opt,,,12.0,Oxlip,,,,0.0
line_opt,,,12.0,Daisy,,,,0.0
line_opt,,,12.0,Tulip,,,,0.0
line_opt,,,13.0,Poppy,,,,0.0
line_opt,,,13.0,Oxlip,,,,0.0
line_opt,,,13.0,Daisy,,,,0.0
line_opt,,,13.0,Tulip,,,,0.0
line_opt,,,14.0,Poppy,,,,0.0
line_opt,,,14.0,Oxlip,,,,0.0
line_opt,,,14.0,Daisy,,,,0.0
line_opt,,,14.0,Tulip,,,,0.0
line_opt,,,15.0,Poppy,,,,0.0
line_opt,,,15.0,Oxlip,,,,0.0
line_opt,,,15.0,Daisy,,,,0.0
line_opt,,,15.0,Tulip,,,,0.0
line_opt,,,16.0,Poppy,,,,0.0
line_opt,,,16.0,Oxlip,,,,0.0
line_opt,,,16.0,Daisy,,,,0.0
line_opt,,,16.0,Tulip,,,,0.0
line_opt,,,17.0,Poppy,,,,0.0
line_opt,,,17.0,Oxlip,,,,0.0
line_opt,,,17.0,Daisy,,,,0.0
line_opt,,,17.0,Tulip,,,,0.0
line_opt,,,18.0,Poppy,,,,0.9999834140087447
line_opt,,,18.0,Oxlip,,,,-3.818486508140803e-07
line_opt,,,18.0,Daisy,,,,6.884314438936977e-07
line_opt,,,18.0,Tulip,,,,1.6279408462252158e-05
line_opt,,,19.0,Poppy,,,,0.0
line_opt,,,19.0,Oxlip,,,,0.0
line_opt,,,19.0,Daisy,,,,0.0
line_opt,,,19.0,Tulip,,,,0.0
line_opt,,,20.0,Poppy,,,,1.0
line_opt,,,20.0,Oxlip,,,,0.0
line_opt,,,20.0,Daisy,,,,0.0
line_opt,,,20.0,Tulip,,,,0.0
line_opt,,,21.0,Poppy,,,,1.0
line_opt,,,21.0,Oxlip,,,,0.0
line_opt,,,21.0,Daisy,,,,0.0
line_opt,,,21.0,Tulip,,,,0.0
line_opt,,,22.0,Poppy,,,,0.0
line_opt,,,22.0,Oxlip,,,,0.0
line_opt,,,22.0,Daisy,,,,0.0
line_opt,,,22.0,Tulip,,,,0.0
line_opt,,,23.0,Poppy,,,,1.0
line_opt,,,23.0,Oxlip,,,,0.0
line_opt,,,23.0,Daisy,,,,0.0
line_opt,,,23.0,Tulip,,,,0.0
line_opt,,,24.0,Poppy,,,,1.0
line_opt,,,24.0,Oxlip,,,,0.0
line_opt,,,24.0,Daisy,,,,0.0
line_opt,,,24.0,Tulip,,,,0.0
line_opt,,,25.0,Poppy,,,,0.0
line_opt,,,25.0,Oxlip,,,,0.0
line_opt,,,25.0,Daisy,,,,0.0
line_opt,,,25.0,Tulip,,,,0.0
line_opt,,,26.0,Poppy,,,,0.0
line_opt,,,26.0,Oxlip,,,,0.0
line_opt,,,26.0,Daisy,,,,0.0
line_opt,,,26.0,Tulip,,,,0.0
line_opt,,,27.0,Poppy,,,,0.0
line_opt,,,27.0,Oxlip,,,,0.0
line_opt,,,27.0,Daisy,,,,0.0
line_opt,,,27.0,Tulip,,,,0.0
line_act_plus,,,0.0,,,,,0.0
line_act_plus,,,1.0,,,,,0.0
line_act_plus,,,2.0,,,,,0.0
line_act_plus,,,3.0,,,,,0.0
line_act_plus,,,4.0,,,,,1.0
line_act_plus,,,5.0,,,,,0.0
line_act_plus,,,6.0,,,,,0.0
line_act_plus,,,7.0,,,,,0.0
line_act_plus,,,8.0,,,,,0.0
line_act_plus,,,9.0,,,,,0.0
line_act_plus,,,10.0,,,,,1.0
line_act_plus,,,11.0,,,,,0.0
line_act_plus,,,12.0,,,,,0.0
line_act_plus,,,13.0,,,,,0.0
line_act_plus,,,14.0,,,,,0.0
line_act_plus,,,15.0,,,,,0.0
line_act_plus,,,16.0,,,,,0.0
line_act_plus,,,17.0,,,,,0.0
line_act_plus,,,18.0,,,,,0.0
line_act_plus,,,19.0,,,,,0.0
line_act_plus,,,20.0,,,,,0.0
line_act_plus,,,21.0,,,,,0.0
line_act_plus,,,22.0,,,,,0.0
line_act_plus,,,23.0,,,,,0.0
line_act_plus,,,24.0,,,,,0.0
line_act_plus,,,25.0,,,,,0.0
line_act_plus,,,26.0,,,,,0.0
line_act_plus,,,27.0,,,,,0.0
line_act_minus,,,0.0,,,,,1.0
line_act_minus,,,1.0,,,,,0.0
line_act_minus,,,2.0,,,,,0.0
line_act_minus,,,3.0,,,,,0.0
line_act_minus,,,4.0,,,,,0.0
line_act_minus,,,5.0,,,,,0.0
line_act_minus,,,6.0,,,,,0.0
line_act_minus,,,7.0,,,,,0.0
line_act_minus,,,8.0,,,,,0.0
line_act_minus,,,9.0,,,,,0.0
line_act_minus,,,10.0,,,,,0.0
line_act_minus,,,11.0,,,,,0.0
line_act_minus,,,12.0,,,,,0.0
line_act_minus,,,13.0,,,,,0.0
line_act_minus,,,14.0,,,,,0.0
line_act_minus,,,15.0,,,,,0.0
line_act_minus,,,16.0,,,,,0.0
line_act_minus,,,17.0,,,,,0.0
line_act_minus,,,18.0,,,,,1.0
line_act_minus,,,19.0,,,,,0.0
line_act_minus,,,20.0,,,,,1.0
line_act_minus,,,21.0,,,,,1.0
line_act_minus,,,22.0,,,,,0.0
line_act_minus,,,23.0,,,,,1.0
line_act_minus,,,24.0,,,,,1.0
line_act_minus,,,25.0,,,,,0.0
line_act_minus,,,26.0,,,,,0.0
line_act_minus,,,27.0,,,,,0.0
subs_hv_capacity,,,,,0.0,,,0.06102548248187273
subs_hv_capacity,,,,,1.0,,,0.0
subs_hv_S,1.0,,,,0.0,,,0.03993164770091222
subs_hv_S,1.0,,,,1.0,,,0.0
subs_hv_S,2.0,,,,0.0,,,0.05808570170010913
subs_hv_S,2.0,,,,1.0,,,0.0
subs_hv_S,3.0,,,,0.0,,,0.05832462701449514
subs_hv_S,3.0,,,,1.0,,,0.0
subs_hv_S,4.0,,,,0.0,,,0.06102548248187273
subs_hv_S,4.0,,,,1.0,,,0.0
subs_hv_S,5.0,,,,0.0,,,0.053161065406989304
subs_hv_S,5.0,,,,1.0,,,0.0
subs_hv_S,6.0,,,,0.0,,,0.06102548248187273
subs_hv_S,6.0,,,,1.0,,,0.0
subs_hv_S,7.0,,,,0.0,,,0.06102548248187273
subs_hv_S,7.0,,,,1.0,,,0.0
subs_hv_S,8.0,,,,0.0,,,0.058213424621656316
subs_hv_S,8.0,,,,1.0,,,0.0
subs_hv_S,9.0,,,,0.0,,,0.04926115520368987
subs_hv_S,9.0,,,,1.0,,,0.0
subs_hv_S,10.0,,,,0.0,,,0.04704693973764955
subs_hv_S,10.0,,,,1.0,,,0.0
subs_hv_S,11.0,,,,0.0,,,0.06102548248187273
subs_hv_S,11.0,,,,1.0,,,0.0
subs_hv_S,12.0,,,,0.0,,,0.04464717675003765
subs_hv_S,12.0,,,,1.0,,,0.0
subs_hv_S,13.0,,,,0.0,,,0.06102548248187273
subs_hv_S,13.0,,,,1.0,,,0.0
subs_hv_S,14.0,,,,0.0,,,0.04659388330460525
subs_hv_S,14.0,,,,1.0,,,0.0
subs_hv_S,15.0,,,,0.0,,,0.06102548248187273
subs_hv_S,15.0,,,,1.0,,,0.0
subs_hv_S,16.0,,,,0.0,,,0.06102548248187273
subs_hv_S,16.0,,,,1.0,,,0.0
subs_hv_S,17.0,,,,0.0,,,0.059180122115717416
subs_hv_S,17.0,,,,1.0,,,0.0
subs_hv_S,18.0,,,,0.0,,,0.06102548248187273
subs_hv_S,18.0,,,,1.0,,,0.0
subs_hv_S,19.0,,,,0.0,,,0.06102548248187273
subs_hv_S,19.0,,,,1.0,,,0.0
subs_hv_S,20.0,,,,0.0,,,0.06102548248187273
subs_hv_S,20.0,,,,1.0,,,0.0
subs_hv_S,21.0,,,,0.0,,,0.06102548248187273
subs_hv_S,21.0,,,,1.0,,,0.0
subs_hv_S,22.0,,,,0.0,,,0.06102548248187273
subs_hv_S,22.0,,,,1.0,,,0.0
subs_hv_S,23.0,,,,0.0,,,0.05843508596223718
subs_hv_S,23.0,,,,1.0,,,0.0
subs_hv_S,24.0,,,,0.0,,,0.06102548248187273
subs_hv_S,24.0,,,,1.0,,,0.0
subs_hv_S,25.0,,,,0.0,,,0.06102548248187273
subs_hv_S,25.0,,,,1.0,,,0.0
subs_hv_S,26.0,,,,0.0,,,0.06102548248187273
subs_hv_S,26.0,,,,1.0,,,0.0
subs_hv_S,27.0,,,,0.0,,,0.06102548248187273
subs_hv_S,27.0,,,,1.0,,,0.0
subs_hv_S,28.0,,,,0.0,,,0.05616776245110849
subs_hv_S,28.0,,,,1.0,,,0.0
subs_hv_S,29.0,,,,0.0,,,0.05714388270557625
subs_hv_S,29.0,,,,1.0,,,0.0
subs_hv_S,30.0,,,,0.0,,,0.06102548248187273
subs_hv_S,30.0,,,,1.0,,,0.0
subs_hv_S,31.0,,,,0.0,,,0.06102548248187273
subs_hv_S,31.0,,,,1.0,,,0.0
subs_hv_S,32.0,,,,0.0,,,0.06102548248187273
subs_hv_S,32.0,,,,1.0,,,0.0
subs_hv_S,33.0,,,,0.0,,,0.06102548248187273
subs_hv_S,33.0,,,,1.0,,,0.0
subs_hv_S,34.0,,,,0.0,,,0.06102548248187273
subs_hv_S,34.0,,,,1.0,,,0.0
subs_hv_S,35.0,,,,0.0,,,0.06102548248187273
subs_hv_S,35.0,,,,1.0,,,0.0
subs_hv_S,36.0,,,,0.0,,,0.06102548248187273
subs_hv_S,36.0,,,,1.0,,,0.0
subs_hv_S,37.0,,,,0.0,,,0.06102548248187273
subs_hv_S,37.0,,,,1.0,,,0.0
subs_hv_S,38.0,,,,0.0,,,0.04400088673171753
subs_hv_S,38.0,,,,1.0,,,0.0
subs_hv_S,39.0,,,,0.0,,,0.06102548248187273
subs_hv_S,39.0,,,,1.0,,,0.0
subs_hv_S,40.0,,,,0.0,,,0.06102548248187273
subs_hv_S,40.0,,,,1.0,,,0.0
subs_hv_S,41.0,,,,0.0,,,0.06102548248187273
subs_hv_S,41.0,,,,1.0,,,0.0
subs_hv_S,42.0,,,,0.0,,,0.06102548248187273
subs_hv_S,42.0,,,,1.0,,,0.0
subs_hv_S,43.0,,,,0.0,,,0.06102548248187273
subs_hv_S,43.0,,,,1.0,,,0.0
subs_hv_S,44.0,,,,0.0,,,0.06102548248187273
subs_hv_S,44.0,,,,1.0,,,0.0
subs_hv_S,45.0,,,,0.0,,,0.06102548248187273
subs_hv_S,45.0,,,,1.0,,,0.0
subs_hv_S,46.0,,,,0.0,,,0.06102548248187273
subs_hv_S,46.0,,,,1.0,,,0.0
subs_hv_S,47.0,,,,0.0,,,0.05446838295913566
subs_hv_S,47.0,,,,1.0,,,0.0
subs_hv_S,48.0,,,,0.0,,,0.06102548248187273
subs_hv_S,48.0,,,,1.0,,,0.0
subs_hv_P,1.0,,,,0.0,,,6.413191773409796e-07
subs_hv_P,1.0,,,,1.0,,,0.0
subs_hv_P,2.0,,,,0.0,,,0.03906227087061817
subs_hv_P,2.0,,,,1.0,,,0.0
subs_hv_P,3.0,,,,0.0,,,0.04095216851210335
subs_hv_P,3.0,,,,1.0,,,0.0
subs_hv_P,4.0,,,,0.0,,,0.0440817934144794
subs_hv_P,4.0,,,,1.0,,,0.0
subs_hv_P,5.0,,,,0.0,,,0.03991239023680335
subs_hv_P,5.0,,,,1.0,,,0.0
subs_hv_P,6.0,,,,0.0,,,0.03809492974159561
subs_hv_P,6.0,,,,1.0,,,0.0
subs_hv_P,7.0,,,,0.0,,,0.040205570589231424
subs_hv_P,7.0,,,,1.0,,,0.0
subs_hv_P,8.0,,,,0.0,,,0.04274534312571345
subs_hv_P,8.0,,,,1.0,,,0.0
subs_hv_P,9.0,,,,0.0,,,0.03069039117795066
subs_hv_P,9.0,,,,1.0,,,0.0
subs_hv_P,10.0,,,,0.0,,,0.021796982281502557
subs_hv_P,10.0,,,,1.0,,,0.0
subs_hv_P,11.0,,,,0.0,,,0.02001204410361628
subs_hv_P,11.0,,,,1.0,,,0.0
subs_hv_P,12.0,,,,0.0,,,0.017043969844309982
subs_hv_P,12.0,,,,1.0,,,0.0
subs_hv_P,13.0,,,,0.0,,,0.020553675965562044
subs_hv_P,13.0,,,,1.0,,,0.0
subs_hv_P,14.0,,,,0.0,,,0.024111761596902634
subs_hv_P,14.0,,,,1.0,,,0.0
subs_hv_P,15.0,,,,0.0,,,0.030116572947944037
subs_hv_P,15.0,,,,1.0,,,0.0
subs_hv_P,16.0,,,,0.0,,,0.03980948787311593
subs_hv_P,16.0,,,,1.0,,,0.0
subs_hv_P,17.0,,,,0.0,,,0.042307890136344437
