Day,Weight
2025-01-03,30.28341888785774
2025-01-15,21.04510494167511
2025-03-05,3.517692154250848
2025-03-07,8.888969117783143
2025-03-11,11.489586539345227
2025-03-12,16.521426870297685
2025-03-23,34.0814641092374
2025-04-15,10.591173181043098
2025-04-24,9.782246043440905
2025-05-23,16.05551650682761
2025-06-08,7.989740009798636
2025-06-11,16.592213018835754
2025-06-19,30.40168356406045
2025-07-09,5.344764943860197
2025-07-31,11.485282717867443
2025-08-12,12.718209682578271
2025-08-18,17.408451371328724
2025-10-09,31.043357871929977
2025-10-24,20.650315805892863
2025-12-06,33.95978560903163
2025-12-14,15.149597053057297
