Day,Weight
2025-01-29,66.0
2025-02-10,38.85810810810815
2025-04-25,34.0
2025-05-29,31.0
2025-06-17,25.43243243243245
2025-07-30,65.0
2025-10-17,65.0
2025-11-18,39.7094594594594
