bus_id,Inv_size_factor,PV_fraction,PV_surf,S_inv,storage_capacity,yearly_cost
18,0.79,1.0,42.0,6.66,0.0,260
17,0.79,1.0,12.0,1.9,0.0,116
22,0.79,1.0,18.0,2.85,0.0,88
19,0.79,1.0,15.0,2.38,0.0,48
23,0.79,1.0,35.0,5.55,0.0,170
24,0.79,1.0,21.0,3.33,0.0,102
26,0.79,1.0,15.0,2.38,0.0,73
21,0.79,1.0,16.0,2.54,0.0,78
20,0.79,1.0,16.0,2.54,0.0,51
28,0.79,1.0,16.0,2.54,0.0,26
25,0.79,1.0,24.0,3.81,0.0,77
16,0.79,1.0,10.0,1.59,0.0,97
27,0.79,1.0,6.0,0.95,0.0,58
