Line ID,from bus,to bus
0,0,51
1,0,52
2,0,53
3,0,54
4,0,55
5,0,56
6,0,57
7,0,58
8,55,27
9,55,35
10,55,31
11,55,26
12,55,40
13,55,32
14,55,33
15,55,39
16,55,37
17,56,27
18,56,35
19,56,31
20,56,26
21,56,40
22,56,32
23,56,33
24,56,39
25,56,37
26,53,7
27,53,3
28,53,11
29,53,6
30,53,4
31,54,7
32,54,3
33,54,11
34,54,6
35,54,4
36,51,24
37,51,21
38,51,22
39,51,17
40,52,24
41,52,21
42,52,22
43,52,17
44,57,47
45,57,42
46,57,46
47,57,43
48,58,47
49,58,42
50,58,46
51,58,43
52,29,55
53,28,56
54,16,53
55,9,54
56,20,51
57,23,52
58,48,57
59,50,58
60,3,4
60,4,3
62,3,7
62,7,3
64,3,11
64,11,3
66,4,6
66,6,4
68,6,11
68,11,6
70,7,11
70,11,7
72,17,21
72,21,17
74,17,22
74,22,17
76,17,24
76,24,17
78,21,24
78,24,21
80,22,24
80,24,22
82,26,31
82,31,26
84,26,40
84,40,26
86,27,31
86,31,27
88,27,35
88,35,27
90,31,35
90,35,31
92,32,33
92,33,32
94,32,39
94,39,32
96,33,37
96,37,33
98,33,39
98,39,33
100,33,40
100,40,33
102,37,39
102,39,37
104,42,43
104,43,42
106,42,47
106,47,42
108,43,46
108,46,43
110,46,47
110,47,46
112,1,10
112,10,1
114,1,12
114,12,1
116,1,15
116,15,1
118,1,16
118,16,1
120,2,8
120,8,2
122,2,9
122,9,2
124,5,13
124,13,5
126,5,15
126,15,5
128,8,9
128,9,8
130,8,14
130,14,8
132,10,12
132,12,10
134,12,16
134,16,12
136,13,15
136,15,13
138,14,16
138,16,14
140,18,19
140,19,18
142,18,20
142,20,18
144,18,23
144,23,18
146,18,25
146,25,18
148,19,20
148,20,19
150,20,23
150,23,20
152,23,25
152,25,23
154,28,36
154,36,28
156,28,38
156,38,28
158,29,30
158,30,29
160,29,34
160,34,29
162,30,34
162,34,30
164,30,36
164,36,30
166,36,38
166,38,36
168,41,45
168,45,41
170,41,49
170,49,41
172,41,50
172,50,41
174,44,48
174,48,44
176,44,50
176,50,44
178,45,48
178,48,45
180,45,50
180,50,45
182,49,50
182,50,49
