Code word,q [mm2],r [ohm/km],xl [ohm/km],imax [kA],cost [keur/km]
Oxlip,107.3,0.02747,0.0402,0.34,12
Daisy,135.3,0.02180,0.0394,0.46,15
Tulip,170.6,0.01732,0.0381,0.53,20
Poppy,53.50,0.05502,0.0429,0.23,10
