Line ID,from bus,to bus
0,0,1
1,0,24
2,0,37
3,0,48
4,1,4
5,1,6
6,1,3
7,1,9
8,1,2
9,1,10
10,1,13
11,1,14
12,1,11
13,1,7
14,1,8
15,1,12
16,1,5
17,4,6
18,4,3
19,4,9
20,4,2
21,4,10
22,4,13
23,4,14
24,4,11
25,4,7
26,4,8
27,4,12
28,4,5
29,6,3
30,6,9
31,6,2
32,6,10
33,6,13
34,6,14
35,6,11
36,6,7
37,6,8
38,6,12
39,6,5
40,3,9
41,3,2
42,3,10
43,3,13
44,3,14
45,3,11
46,3,7
47,3,8
48,3,12
49,3,5
50,9,2
51,9,10
52,9,13
53,9,14
54,9,11
55,9,7
56,9,8
57,9,12
58,9,5
59,2,10
60,2,13
61,2,14
62,2,11
63,2,7
64,2,8
65,2,12
66,2,5
67,10,13
68,10,14
69,10,11
70,10,7
71,10,8
72,10,12
73,10,5
74,13,14
75,13,11
76,13,7
77,13,8
78,13,12
79,13,5
80,14,11
81,14,7
82,14,8
83,14,12
84,14,5
85,11,7
86,11,8
87,11,12
88,11,5
89,7,8
90,7,12
91,7,5
92,8,12
93,8,5
94,12,5
95,24,15
96,24,21
97,24,20
98,24,25
99,24,22
100,24,27
101,24,26
102,24,18
103,24,17
104,24,16
105,24,23
106,24,19
107,15,21
108,15,20
109,15,25
110,15,22
111,15,27
112,15,26
113,15,18
114,15,17
115,15,16
116,15,23
117,15,19
118,21,20
119,21,25
120,21,22
121,21,27
122,21,26
123,21,18
124,21,17
125,21,16
126,21,23
127,21,19
128,20,25
129,20,22
130,20,27
131,20,26
132,20,18
133,20,17
134,20,16
135,20,23
136,20,19
137,25,22
138,25,27
139,25,26
140,25,18
141,25,17
142,25,16
143,25,23
144,25,19
145,22,27
146,22,26
147,22,18
148,22,17
149,22,16
150,22,23
151,22,19
152,27,26
153,27,18
154,27,17
155,27,16
156,27,23
157,27,19
158,26,18
159,26,17
160,26,16
161,26,23
162,26,19
163,18,17
164,18,16
165,18,23
166,18,19
167,17,16
168,17,23
169,17,19
170,16,23
171,16,19
172,23,19
173,37,39
174,37,32
175,37,34
176,37,30
177,37,38
178,37,35
179,37,29
180,37,28
181,37,41
182,37,40
183,37,33
184,37,31
185,37,36
186,39,32
187,39,34
188,39,30
189,39,38
190,39,35
191,39,29
192,39,28
193,39,41
194,39,40
195,39,33
196,39,31
197,39,36
198,32,34
199,32,30
200,32,38
201,32,35
202,32,29
203,32,28
204,32,41
205,32,40
206,32,33
207,32,31
208,32,36
209,34,30
210,34,38
211,34,35
212,34,29
213,34,28
214,34,41
215,34,40
216,34,33
217,34,31
218,34,36
219,30,38
220,30,35
221,30,29
222,30,28
223,30,41
224,30,40
225,30,33
226,30,31
227,30,36
228,38,35
229,38,29
230,38,28
231,38,41
232,38,40
233,38,33
234,38,31
235,38,36
236,35,29
237,35,28
238,35,41
239,35,40
240,35,33
241,35,31
242,35,36
243,29,28
244,29,41
245,29,40
246,29,33
247,29,31
248,29,36
249,28,41
250,28,40
251,28,33
252,28,31
253,28,36
254,41,40
255,41,33
256,41,31
257,41,36
258,40,33
259,40,31
260,40,36
261,33,31
262,33,36
263,31,36
264,48,42
265,48,43
266,48,44
267,48,45
268,48,46
269,48,47
270,42,43
271,42,44
272,42,45
273,42,46
274,42,47
275,43,44
276,43,45
277,43,46
278,43,47
279,44,45
280,44,46
281,44,47
282,45,46
283,45,47
284,46,47
