bus_id,Inv_size_factor,PV_fraction,PV_surf,S_inv,storage_capacity,yearly_cost
11,0.79,1.0,24.0,3.81,0.0,117
14,0.79,1.0,49.0,7.77,0.0,102
8,0.79,1.0,9.0,1.43,0.0,44
12,0.79,1.0,16.0,2.54,0.0,119
6,0.79,1.0,4.0,0.63,0.0,19
15,0.79,1.0,25.0,3.96,0.0,40
10,0.79,1.0,20.0,3.17,0.0,97
9,0.79,1.0,16.0,2.54,0.0,78
7,0.79,1.0,16.0,2.54,0.0,51
5,0.79,1.0,12.0,1.9,0.0,133
13,0.79,1.0,20.0,3.17,0.0,26
