Line ID,from bus,to bus
0,0,2
1,0,3
2,0,4
3,0,5
4,0,6
5,0,7
6,1,2
7,1,3
8,1,4
9,1,5
10,1,6
11,1,7
12,2,43
13,2,44
14,2,45
15,3,43
16,3,44
17,3,45
18,4,46
19,4,47
20,4,48
21,5,46
22,5,47
23,5,48
24,6,49
25,6,50
26,6,51
27,7,49
28,7,50
29,7,51
30,2,17
31,2,18
32,2,19
33,2,20
34,2,21
35,2,22
36,2,23
37,2,24
38,3,17
39,3,18
40,3,19
41,3,20
42,3,21
43,3,22
44,3,23
45,3,24
46,4,25
47,4,26
48,4,27
49,4,28
50,4,29
51,4,30
52,4,31
53,4,32
54,5,25
55,5,26
56,5,27
57,5,28
58,5,29
59,5,30
60,5,31
61,5,32
62,6,33
63,6,34
64,6,35
65,6,36
66,6,37
67,6,38
68,6,39
69,6,40
70,6,41
71,6,42
72,7,33
73,7,34
74,7,35
75,7,36
76,7,37
77,7,38
78,7,39
79,7,40
80,7,41
81,7,42
82,43,44
83,43,45
84,44,45
85,46,47
86,46,48
87,47,48
88,49,50
89,49,51
90,50,51
91,17,18
92,17,20
93,17,21
94,18,19
95,18,21
96,19,21
97,19,22
98,20,21
99,20,23
100,20,24
101,21,22
102,21,23
103,21,24
104,22,24
105,23,24
106,25,29
107,25,30
108,25,32
109,26,27
110,26,28
111,26,29
112,27,29
113,27,30
114,28,29
115,28,31
116,28,32
117,29,30
118,29,31
119,29,32
120,31,32
121,33,34
122,33,37
123,33,38
124,34,35
125,34,38
126,35,36
127,35,39
128,35,40
129,36,39
130,36,40
131,37,38
132,37,41
133,37,42
134,38,39
135,38,41
136,38,42
137,39,40
138,41,42
